num,item_index,question,correct_key,correct_text,correct_title,mistral-7b / No Retrieval / unlimited_pred,mistral-7b / No Retrieval / 256tok_pred,mistral-7b / No Retrieval / 512tok_pred,mistral-7b / No Retrieval / unlimited_ok,mistral-7b / No Retrieval / 256tok_ok,mistral-7b / No Retrieval / 512tok_ok
62,474,"A 5-year-old male is brought to the pediatrician with complaints of a painful mouth/gums, and vesicu",C,HSV-1,,,,,0,0,0
63,813,A 45-year-old African-American woman comes to the physician after an episode of hemoptysis. Over the,D,Adenocarcinoma of the lung,,,,,0,0,0
64,300,A 72-year-old woman is admitted to the hospital for treatment of unstable angina. Cardiac catheteriz,B,16,,,,,0,0,0
65,718,"Two hours after admission to the hospital for dialysis, a 63-year-old woman has severe pain in her l",B,Secondary hyperparathyroidism,,,,,0,0,0
66,851,A 55-year-old construction worker is struck by a high-voltage power line while on duty. According to,B,Urinalysis,,,,,0,0,0
67,50,A 67-year-old man is hospitalized after several days of fever and increasing shortness of breath. Re,C,Proliferation of surfactant-secreting cells,,,,,0,0,0
68,794,A 5-year-old girl is brought to her pediatrician for evaluation of difficulties noted at school. Her,B,GI upset,,,,,0,0,0
69,101,A 2-day-old male newborn is brought to the physician because of yellowing of the skin and sclerae fo,D,Anti-B antibodies,,,,,0,0,0
70,663,A 58-year-old man comes to the emergency department because of increasing shortness of breath and a ,D,Blunting of costophrenic angle,,,,,0,0,0
71,666,A 31-year-old man comes to the physician because of a 4-week history of a painless lump near the lef,B,Flexor pollicis longus tendon,,,,,0,0,0
72,1255,A 60-year-old woman presents to the outpatient clinic complaining of severe vulvar itching that has ,B,Lichen sclerosus,,,,,0,0,0
73,1151,A 30-year-old woman presents to an outpatient clinic for a scheduled gynecologic check-up. The patie,A,No further intervention,,,,,0,0,0
74,45,A 45-year-old G5P4105 presents to her gynecologist’s office with six months of increasingly heavy pe,A,Globular 10-week sized uterus,,,,,0,0,0
75,290,A previously healthy 2-year-old boy is brought to the physician because of a 10-day history of unste,C,Small blue cells arranged in rosettes around a central neuropil,,,,,0,0,0
76,1202,A 24-year-old woman comes to the physician because of persistent fatigue for the past 4 months. She ,C,Iron deficiency,,,,,0,0,0
77,862,A 3-year-old boy is brought to the physician because of a 3-day history of fatigue and yellow discol,B,Cholecystitis,,,,,0,0,0
78,899,A 38-year-old woman presents to the office for a routine examination. She has no complaints and offe,B,Avoidant personality disorder,,,,,0,0,0
79,329,"A 27-year-old woman, gravida 2, para 1, at 40 weeks' gestation is admitted to the hospital in active",A,Sympathetic block,,,,,0,0,0
80,1072,A 10-year-old boy is brought to the emergency department because he has not been able to walk since ,A,Intravenous immunoglobulin (IVIG),,,,,0,0,0
81,1033,An 80-year-old man presents with severe pain of the right lower extremity. He says that symptoms had,B,Immediate debridement and empiric IV antibiotics,,,,,0,0,0
82,893,A 55-year-old man presents with complaints of exertional dyspnea and dry cough. He reports using ext,D,Increased renal tubular sodium reabsorption,,,,,0,0,0
83,624,A group of investigators is studying the association between a fire retardant chemical used on furni,A,Case-control study,,,,,0,0,0
84,1174,A 53-year-old male presents to his primary care physician complaining of fatigue and joint and muscl,A,Sofosbuvir and simeprevir,,,,,0,0,0
85,247,A 43-year-old man with a history of hepatitis C and current intravenous drug use presents with 5 day,A,Repeat blood cultures now,,,,,0,0,0
86,273,A 9-month-old boy is brought to the physician by his mother because of intermittent watery diarrhea ,C,Autoimmune endocrinopathy,,,,,0,0,0
87,582,A 58-year-old woman presents to the emergency department with difficulty breathing and a sensation t,C,Age,,,,,0,0,0
88,490,A 62-year-old man with a history of chronic bronchitis comes to the physician because of a 1-month h,C,Tiotropium,,,,,0,0,0
89,1186,"A previously healthy, 24-year-old man comes to the physician because of a 6-week history of loose, n",C,Formation of noncaseating granulomas,,,,,0,0,0
90,1139,"A 62-year-old woman with small-cell lung cancer comes to the physician because of a painful, burning",D,Cell injury due to drug metabolites,,,,,0,0,0
91,215,A 35-year-old female is brought to the emergency department after being found unconscious. The patie,B,Factitious disorder,,,,,0,0,0
92,849,"A 47-year-old woman comes to the emergency department because of worsening pain, discoloration, and ",B,Brown recluse spider,,,,,0,0,0
93,456,A 62-year-old woman presents to the emergency department for vision changes. About 90 minutes ago sh,C,Posterior cerebral artery,,,,,0,0,0
94,836,"A 45-year-old woman with hypothyroidism comes to the physician because of progressive fatigue, letha",C,Parietal cell destruction,,,,,0,0,0
95,79,A newborn is found to be extremely cyanotic immediately after birth. He then develops progressive re,C,Transposition of great vessels,,,,,0,0,0
96,861,"A 24-year-old woman delivers a baby at term. The Apgar counts are 9 and 10 at 1 and 5 minutes, respe",C,Pituitary infarction,,,,,0,0,0
97,23,A 30-year-old African American woman comes to the physician for the evaluation of a dry cough and ch,C,Histoplasma capsulatum infection,,,,,0,0,0
98,604,"A 38-year-old woman comes to the physician because of a 1-month history of a painless, nonpruritic s",A,Dermatofibroma,,,,,0,0,0
99,357,A 29-year-old man is referred by his marriage counselor to the outpatient psychiatry clinic. The pat,A,Schizotypal personality disorder,,,,,0,0,0
100,1237,"A 45-year-old woman presents to the physician with a history of headache, palpitations, and episodic",B,Multiple endocrine neoplasia (MEN) 2A,,,,,0,0,0
